ds,yhat,yhat_lower,yhat_upper,NiveauRisque
2026-01-04,38.49479708086712,10.006937685359212,65.64221028252098,MODÉRÉ
2026-01-11,40.11721046560818,13.573814834975629,68.43978246146173,MODÉRÉ
2026-01-18,43.330464258797235,16.885467986584917,71.05570457918225,MODÉRÉ
2026-01-25,44.78730610802421,16.39527974853784,71.39332645650374,MODÉRÉ
2026-02-01,44.354155563172895,16.48806430707314,72.80494687751298,MODÉRÉ
2026-02-08,42.34962220083033,16.533694018529218,69.9441730432837,MODÉRÉ
2026-02-15,38.24969901768834,11.278040451153602,65.89986227637827,MODÉRÉ
2026-02-22,33.20635574196058,5.028692583235645,61.045451950000896,MODÉRÉ
2026-03-01,31.646728460212213,7.536166063531176,59.00241449668661,MODÉRÉ
2026-03-08,37.51622129759096,10.235060117698021,64.63498917606297,MODÉRÉ
2026-03-15,48.5455434300337,21.770468198163407,74.16668421590195,MODÉRÉ
2026-03-22,56.329470367282866,27.155340863946748,81.03783585282794,ÉLEVÉ
2026-03-29,53.91476320716767,27.06775913883043,80.46359554853687,ÉLEVÉ
2026-04-05,42.984423755468605,15.541385082145071,70.73720284450182,MODÉRÉ
2026-04-12,32.14916460159195,4.55798210950697,60.087973800596956,MODÉRÉ
2026-04-19,27.946883014294347,1.022853744813021,55.99216609036049,FAIBLE
